,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
2018,"Digital Disruption","Skog D.A., Wimelius H., Sandberg J.",18670202,"Business and Information Systems Engineering",60, 5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6
2018,"Status Games: Market driving through social influence in the U.S. Wine industry","Humphreys A., Carpenter G.S.",00222429,"Journal of Marketing",82, 5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6
2018,"Learning mode and strategic concept for the 4th industrial revolution","Kodama F.",21998531,"Journal of Open Innovation: Technology, Market, and Complexity",4, 3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6
2018,"The overlooked role of embeddedness in disruptive innovation theory","Reinhardt R., Gurtner S.",00401625,"Technological Forecasting and Social Change",132, ,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6
2018,"Real world evidence (RWE) - a disruptive innovation or the quiet evolution of medical evidence generation?","Khosla S., White R., Medina J., Ouwens M., Emmas C., Koder T., Male G., Leonard S.",20461402,"F1000Research",7, ,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6
2017,"Analysing the Impact of Regulation on Disruptive Innovations: The Case of Wireless Technology","Trubnikov D.",15661679,"Journal of Industry, Competition and Trade",17, 4,0,0,0,0,0,0,0,0,0,0,1,1,4,0,6,0,6
2016,"DG connect funded projects on information and communication technologies (ICT) for old age people: Beyond Silos, CareWell and SmartCare","Keijser W., De Manuel-Keenoy E., D'Angelantonio M., Stafylas P., Hobson P., Apuzzo G., Hurtado M., Oates J., Bousquet J., Senn A.",12797707,"Journal of Nutrition, Health and Aging",20, 10,0,0,0,0,0,0,0,0,0,0,1,3,2,0,6,0,6
2016,"Nurse practitioners, canaries in the mine of primary care reform","Contandriopoulos D., Brousselle A., Breton M., Sangster-Gormley E., Kilpatrick K., Dubois C.-A., Brault I., Perroux M.",01688510,"Health Policy",120, 6,0,0,0,0,0,0,0,0,0,1,3,2,0,0,6,0,6
2016,"Does formal credit work for MOOC-like learning environments?","Kursun E.",14923831,"International Review of Research in Open and Distance Learning",17, 3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,0,6
2015,"The case against disruptive innovation","Gobble M.A.M.",08956308,"Research Technology Management",58, 1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,6
2014,"The challenge of disruptive innovation in learning technology","Bateman J., Davies D.",03080110,"Medical Education",48, 3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,6,0,6
2014,"Disruptive innovations as a driving force for the change of wireless telecommunication infrastructures","Kyoseva T., Poulkov V., Mihaylov M., Mihovska A.",09296212,"Wireless Personal Communications",78, 3,0,0,0,0,0,0,0,0,0,3,0,2,1,0,6,0,6
2014,"The influence of regulation and disruptive potential on incumbents' submarket entry decision and success in the context of a network industry","Huesig S., Timar K., Doblinger C.",07376782,"Journal of Product Innovation Management",31, 5,0,0,0,0,0,0,0,0,0,0,1,2,3,0,6,0,6
2014,"[The MOOC in the educational platform MiriadaX, Los MOOC en la plataforma educativa miriadax]","Medina-Salguero R., Aguaded I.",1138414X,"Profesorado",18, 1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,0,6
2013,"Why the oil companies lost solar","Miller D.",03014215,"Energy Policy",60, ,0,0,0,0,0,0,0,1,2,0,2,0,1,0,6,0,6
2013,"Building a culture of innovation by maximizing the role of the RN","Everett L.Q., Sitterding M.C.",03639568,"Nursing Administration Quarterly",37, 3,0,0,0,0,0,0,0,3,0,0,0,1,2,0,6,0,6
2012,"Cross-lingual asynchronous telepsychiatry: Disruptive innovation?","Yellowlees P.M., Odor A., Parish M.B.",10752730,"Psychiatric Services",63, 9,0,0,0,0,0,0,0,1,2,0,0,2,1,0,6,0,6
2012,"Orthopedic specialty hospitals: Centers of excellence or greed machines?","Badlani N., Boden S., Phillips F.",01477447,"Orthopedics",35, 3,0,0,0,0,0,0,1,0,1,2,1,1,0,0,6,0,6
2011,"Project-based learning: A critical pedagogy for the twenty-first century","Maida C.A.",14782103,"Policy Futures in Education",9, 6,0,0,0,0,0,0,1,1,1,0,1,1,1,0,6,0,6
2011,"Hasselblad and the shift to digital imaging","Sandstrom C.",10586180,"IEEE Annals of the History of Computing",33, 3,0,0,0,0,0,0,1,0,0,2,0,1,2,0,6,0,6
2011,"Technological iatrogenesis: The manifestation of inadequate organizational planning and the integration of health information technology","Palmieri P.A., Peterson L.T., Corazzo L.B.",14748231,"Advances in Health Care Management",10, ,0,0,0,0,0,0,1,1,1,1,0,1,1,0,6,0,6
2010,"Competing in the clouds: A strategic challenge for ITSP ltd","Riedl C., Leimeister S., Bohm M., Yetton P., Krcmar H.",15293181,"Communications of the Association for Information Systems",27, 1,0,0,0,0,0,1,2,0,1,0,1,1,0,0,6,0,6
2009,"Sustaining innovation is challenge for incumbents","Braganza A., Awazu Y., Desouza K.C.",08956308,"Research Technology Management",52, 4,0,0,0,0,0,0,1,0,0,0,1,2,2,0,6,0,6
2019,"The potential contribution of disruptive low-carbon innovations to 1.5 °C climate mitigation","Wilson C., Pettifor H., Cassar E., Kerr L., Wilson M.",1570646X,"Energy Efficiency",12, 2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5
2018,"Management innovation in a VUCA world: Challenges and recommendations","Millar C.C.J.M., Groth O., Mahon J.F.",00081256,"California Management Review",61, 1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,5
2018,"UK higher education institutions’ technology-enhanced learning strategies from the perspective of disruptive innovation","Flavin M., Quintero V.",21567069,"Research in Learning Technology",26, ,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5,0,5
2018,"Disruptive innovation, labor markets, and Big Valley STEM School: network analysis in STEM education","Ellison S., Allen B.",18711502,"Cultural Studies of Science Education",13, 1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,5
2018,"Real world evidence (RWE) - a disruptive innovation or the quiet evolution of medical evidence generation? [version 1; referees: 2 approved]","Khosla S., White R., Medina J., Ouwens M., Emmas C., Koder T., Male G., Leonard S.",20461402,"F1000Research",7, ,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,5
2018,"Modeling the implementation of green initiatives: An AHP-BOCR approach","Sarmiento R., Vargas-Berrones K.X.",23311916,"Cogent Engineering",5, 1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5
2017,"The promise of fintech in emerging markets: Not as disruptive","Zalan T., Toufaily E.",20840845,"Contemporary Economics",11, 4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,5
2017,"David Bowie and the Art of Slow Innovation: A Fast-Second Winner Strategy for Biotechnology and Precision Medicine Global Development","Ozdemir V., Patrinos G.P.",15362310,"OMICS A Journal of Integrative Biology",21, 11,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,5
2017,"Is a transdisciplinary theory of engagement in organized settings possible? A concept analysis of the literature on employee engagement, consumer engagement and patient engagement","Graffigna G.",16641078,"Frontiers in Psychology",8, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,5,0,5
2017,"Genome-Wide Association Studies for Idiosyncratic Drug-Induced Hepatotoxicity: Looking Back-Looking Forward to Next-Generation Innovation","Petros Z., Makonnen E., Aklillu E.",15362310,"OMICS A Journal of Integrative Biology",21, 3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,5
2017,"Towards a mobile augmented reality system for emergency management: The case of SAFE","Croatti A., Ricci A., Viroli M.",19473532,"International Journal of Distributed Systems and Technologies",8, 1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,5
2016,"A Snapshot of MOOCs in Hospitality and Tourism","Ryan P., Horton-Tognazzini L., Williams A.",10963758,"Journal of Hospitality and Tourism Education",28, 2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5,0,5
2016,"Strategy of disruptive innovation in emerging regional markets: Factors of success and failure","Vertakova Y.V., Rudakova O.V., Shadrina V.V., Kobersy I.S., Belova I.N.",21464138,"International Journal of Economics and Financial Issues",6, 8,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,5
2016,"Disruptive innovations in manufacturing – an alternative for re-shoring strategy","Saki Z.",15330915,"Journal of Textile and Apparel, Technology and Management",10, 2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,5
2016,"5G as disruptive innovation: Standard and regulatory challenges at a country level","Suryanegara M.",20869614,"International Journal of Technology",7, 4,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,5
2015,"Achieving the innovative edge in technology, engineering design, and entrepreneurship","Pech R.M.",21925372,"Journal of Innovation and Entrepreneurship",5, 1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,5
2015,"Digital curriculum in the classroom: Authority,control, and teacher role","Puttick G., Drayton B., Karp J.",18688799,"International Journal of Emerging Technologies in Learning",10, 6,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,0,5
2015,"The power of disruptive technological innovation: Transcatheter aortic valve implantation","Berlin D.B., Davidson M.J., Schoen F.J.",15524973,"Journal of Biomedical Materials Research - Part B Applied Biomaterials",103, 8,0,0,0,0,0,0,0,0,0,1,2,0,2,0,5,0,5
2015,"Disruptive innovation: Latest buzzword or new reality?","Boston-Fleischhauer C.",00020443,"Journal of Nursing Administration",45, 10,0,0,0,0,0,0,0,0,0,2,1,1,1,0,5,0,5
2015,"Assessing impediments to NPM change","Steane P., Dufour Y., Gates D.",09534814,"Journal of Organizational Change Management",28, 2,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,0,5
2014,"STI foresight in brazil","Cagnin C.",1995459X,"Foresight Russia",8, 2,0,0,0,0,0,0,0,0,0,1,3,0,1,0,5,0,5
2014,"Innovation and Transformation in California’s Safety Net Health Care Settings: An Inside Perspective","Lyles C.R., Aulakh V., Jameson W., Schillinger D., Yee H., Sarkar U.",10628606,"American Journal of Medical Quality",29, 6,0,0,0,0,0,0,0,0,0,1,2,1,1,0,5,0,5
2014,"Incumbents responses to disruptive business model innovation: The moderating role of technology vs. market-driven innovation","Habtay S.R., Holmen M.",1368275X,"International Journal of Entrepreneurship and Innovation Management",18, 4,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,0,5
2014,"The University - the shifting past","Abeles T.P.",10748121,"On the Horizon",22, 2,0,0,0,0,0,0,0,0,1,1,0,1,2,0,5,0,5
2013,"Disruptive innovation in multinational enterprises","Cowden B.J., Alhorr H.S.",1525383X,"Multinational Business Review",21, 4,0,0,0,0,0,0,0,1,1,0,2,0,1,0,5,0,5
2013,"Methods for roadmapping mutational innovation based on technological evolution bifurcations","Sun J.-G., Tan R.-H., Li X.-T., Jiang P.",10065911,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",19, 2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,5,0,5
2012,"The disruptive influence of cloud computing and its implications for adoption in the pharmaceutical and life sciences industry","Subramanian B.",17457904,"Journal of Medical Marketing",12, 3,0,0,0,0,0,0,0,2,1,0,1,1,0,0,5,0,5
2011,"Signs of potentially disruptive innovation in the space sector","Summerer L.",17572223,"International Journal of Innovation Science",3, 3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,0,5
2010,"The effect of organization's resources on performance for digital content industry","Sun H.-M., Tsai X.-J.",19759339,"International Journal of Digital Content Technology and its Applications",4, 5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,5
2008,"Heterogeneous multi-product competition in Taiwan's newspaper industry","Ho S.J., Ping Sun M.",01292986,"Asian Journal of Communication",18, 2,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,0,5
2019,"MOOCs, disruptive innovation and the future of higher education: A conceptual analysis","Al-Imarah A.A., Shields R.",14703297,"Innovations in Education and Teaching International",56, 3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4
2019,"Consumers' switching to disruptive technology products: The roles of comparative economic value and technology type","Kamolsook A., Badir Y.F., Frank B.",00401625,"Technological Forecasting and Social Change",140, ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4
2018,"“We’ve Lost the Basics”: Perceptions of Journalism Education From Veterans in the Field","Ferrucci P.",10776958,"Journalism and Mass Communication Educator",73, 4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"Strategy shift: Integrating strategy and the firm's capability to innovate","Dobni C.B., Sand C.",00076813,"Business Horizons",61, 5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
2018,"The diversity of why: a meta-analytical study of usage motivation in enterprise social networks","Calero Valdez A., Brell J., Schaar A.K., Ziefle M.",16155289,"Universal Access in the Information Society",17, 3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"Evolution of Business Models in Regenerative Medicine: Effects of a Disruptive Innovation on the Innovation Ecosystem","Banda G., Tait J., Mittra J.",01492918,"Clinical Therapeutics",40, 7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4
2018,"The quadruple helix-based innovation model of reference sites for active and healthy ageing in Europe: The Ageing@Coimbra case study","Malva J.O., Amado A., Rodrigues A., Mota-Pinto A., Cardoso A.F., Teixeira A.M., Todo-Bom A., Devesa A., Ambrosio A.F., Cunha A.L., Gomes B., Dantas C., Abreu C., Santana I., Bousquet J., Apostolo J., Santos L., de Almeida L.M., Illario M., Verissimo R., Rodrigues V., Verissimo M.T.",2296858X,"Frontiers in Medicine",5, MAY,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"The Topic Landscape of Disruption Research—A Call for Consolidation, Reconciliation, and Generalization","Hopp C., Antons D., Kaminski J., Salge T.O.",07376782,"Journal of Product Innovation Management",35, 3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"Role of relevant lead users of mainstream product in the emergence of disruptive innovation","Roy R.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
2018,"Millennials, sharing economy and tourism: the case of Seoul","Bernardi M.",20555911,"Journal of Tourism Futures",4, 1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"Word-of-mouth dynamics with information seeking: Information is not (only) epidemics","Thiriot S.",03784371,"Physica A: Statistical Mechanics and its Applications",492, ,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2018,"Hearing the sound of the wave: What impedes one's ability to foresee innovations?","Milovidov V.",23129972,"Foresight and STI Governance",12, 1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2017,"Analysis of the transition effects of building codes and regulations on the emergence of a low carbon residential building sector","Enker R.A., Morrison G.M.",03787788,"Energy and Buildings",156, ,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,4
2017,"Exploring Antecedent Difference between Early and Late Adopters of Disruptive Innovation in E-business Microcredit Context: Evidence from China","Zhang W., Zhang Q.",02198770,"International Journal of Innovation and Technology Management",14, 6,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2017,"Unmanned Aerial Vehicles and Journalistic Disruption: Perspectives of early professional adopters","Belair-Gagnon V., Owen T., Holton A.E.",21670811,"Digital Journalism",5, 10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4
2017,"ICT-driven disruptive innovation nurtures un-captured GDP – Harnessing women's potential as untapped resources","Watanabe C., Naveed K., Neittaanmaki P.",0160791X,"Technology in Society",51, ,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,4
2017,"Uncorking knowledge- purposeful spillovers as a strategic tool for capability enhancement in the cork industry","Sarkar S.",15547191,"International Entrepreneurship and Management Journal",13, 1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,4
2017,"A study of factors influencing disruptive innovation in Chinese SMEs","Chen J., Zhu Z., Zhang Y.",19761597,"Asian Journal of Technology Innovation",25, 1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2017,"[Disruptive technological innovations as new opportunities for mature industrial clusters. The case of digital printing innovation in the spanish ceramic tile cluster, Innovaciones tecnológicas disruptivas como nuevas oportunidades para los clústeres industriales maduros. El caso de la tecnología de impression digital en el clúster cerámico español]","Molina-Morales F.X., Martinez-Chafer L., Valiente-Bordanova D.",16957253,"Investigaciones Regionales",2017, 39,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
2017,"Taking advantage of disruptive innovation through changes in value networks: insights from the space industry","Perez L., Dos Santos Paulino V., Cambra-Fierro J.",13598546,"Supply Chain Management",22, 2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,4
2016,"The continuing evolution of official statistics: Some challenges and opportunities","MacFeely S.",0282423X,"Journal of Official Statistics",32, 4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,4
2016,"Disruptive innovation on two wheels: Chinese urban transportation and electrification of the humble bike","Simha P.",03037800,"Periodica Polytechnica Transportation Engineering",44, 4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,4
2016,"Disruptive Innovation: The Rise of Distance Education","Thompson C.J.",08876274,"Clinical Nurse Specialist",30, 4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0,4
2016,"Which are the highest peaks in the US Arctic? Fodar settles the debate","Nolan M., DesLauriers K.",19940416,"Cryosphere",10, 3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,4
2016,"“The fun they had” or about the quality of MOOC","Ghislandi P.",18266223,"Journal of E-Learning and Knowledge Society",12, 3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,4
2016,"Disruptive innovation in graduate nursing education:Leading change","Thompson C.J.",08876274,"Clinical Nurse Specialist",30, 3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,4
2015,"[Moocs in catalonia: Fueling innovation in higher education, Moocs en cataluña: Un instrumento para la innovación en educación superior]","Sancho-Vinuesa T., Oliver M., Gisbert M.",1139613X,"Educacion XX1",18, 2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,0,4
2015,"Regulatory Emission Limits for Cars and the Porter Hypothesis: A Survey of the Literature","Franckx L.",01441647,"Transport Reviews",35, 6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,4
2015,"Evaluation model of disruptive innovative design scheme based on logistic regression","Guo J., Sun J., Liang T., Tan R.",10065911,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",21, 6,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,4
2015,"A paradigm shift: Adoption of disruptive learning innovations in an ODL environment: The case of the university of South Africa","Mbatha B.",14923831,"International Review of Research in Open and Distance Learning",16, 3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,4
2014,"Venture Capital: Fueling the Innovation Economy","Srinivasan S., Barchas I., Gorenberg M., Simoudis E.",00189162,"Computer",47, 8,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,4
2014,"Navigating the phase change to the creative economy","Denning S.",10878572,"Strategy and Leadership",42, 2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,4
2014,"Lightning strikes: The creation of Vanguard, the first index mutual fund, and the revolution it spawned","Bogle J.C.",00954918,"Journal of Portfolio Management",40, 5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,4
2014,"Disruptive intelligence - How to gather information to deal with disruptive innovations","Vriens D., Soilen K.S.",2001015X,"Journal of Intelligence Studies in Business",4, 3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,4
2014,"The Disruptive Qualities of Linked Data in the Library Environment: Analysis and Recommendations","Moulaison H.L., Million A.J.",01639374,"Cataloging and Classification Quarterly",52, 4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,4
2014,"Accelerating the innovation cycle: A boston model seeks solutions for lagging ingenuity in health care","Parrish J.A., Schachter S.C., Carleton P.F., Dempsey M., Spilotis D., Collins J.",21542287,"IEEE Pulse",5, 1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,4
2013,"The I-Tribe community pharmacy practice model: Professional pharmacy unshackled","Alston G.L., Waitzman J.A.",15443191,"Journal of the American Pharmacists Association",53, 2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,0,4
2012,"Disruptive innovation and the changing face of healthcare","Sensmeier J.E.",07446314,"Nursing Management",43, 11,0,0,0,0,0,0,0,1,1,0,1,0,0,1,4,0,4
2012,"Modelling the inter-subjective level of innovation","Smulders F.E., Bakker H.J.",02675730,"International Journal of Technology Management",60, 3-4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,4
2011,"Modern innovation management theory and the evolving US lighting industry","Unger D.",17511348,"Journal of Management History",17, 1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,0,4
2010,"Open source disruptive-innovation strategy","Katsamakas E.G., Georgantzas N.C.",01672533,"Human Systems Management",29, 4,0,0,0,0,0,2,1,0,0,0,0,0,1,0,4,0,4
2010,"[Urgent ruptures in education, Rupturas urgentes em educação]","Demo P.",01044036,"Ensaio",18, 69,0,0,0,0,0,1,0,0,0,1,0,0,1,1,4,0,4
2009,"Disruptive innovations that will change your life in health care","Glabman M.",10623388,"Managed Care",18, 1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,4,0,4
2019,"User or student: constructing the subject in Edtech incubator","Ramiel H.",01596306,"Discourse",40, 4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2019,"Considerations that will determine if competency-based assessment is a sustainable innovation","Dauphinee W.D., Boulet J.R., Norcini J.J.",13824996,"Advances in Health Sciences Education",24, 2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2019,"Nanopore ultra-long read sequencing technology for antimicrobial resistance detection in Mannheimia haemolytica","Lim A., Naidenov B., Bates H., Willyerd K., Snider T., Couger M.B., Chen C., Ramachandran A.",01677012,"Journal of Microbiological Methods",159, ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Is point-of-care ultrasound disruptive innovation? Formulating why POCUS is different from conventional comprehensive ultrasound","Weile J., Brix J., Moellekaer A.B.",20363176,"Critical Ultrasound Journal",10, 1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3
2018,"Disruption-based innovations for incumbent technology businesses","Kamel A., Watfa M.K.",22011315,"International Journal of Innovation, Creativity and Change",4, 2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Why Do Incumbents Respond Heterogeneously to Disruptive Innovations? The Interplay of Domain Identity and Role Identity","Kammerlander N., Konig A., Richards M.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Towards an adaptive framework of low-end innovation capability – A systematic review and multiple case study analysis","Reinhardt R., Gurtner S., Griffin A.",00246301,"Long Range Planning",51, 5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Disruptive innovation: How Washington State University is reaching urban audiences","Gaolach B., Aitken M., Gromko A.",10775315,"Journal of Extension",56, 5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2018,"The pressure cooker: When crisis stimulates explorative business model change intentions","Osiyevskyy O., Dewald J.",00246301,"Long Range Planning",51, 4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Disruptive network innovation in free guided tours","Widtfeldt Meged J., Zillinger M.",15022250,"Scandinavian Journal of Hospitality and Tourism",18, 3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3
2018,"Using information communication technology in models of integrated community-based primary health care: Learning from the iCOACH case studies","Steele Gray C., Barnsley J., Gagnon D., Belzile L., Kenealy T., Shaw J., Sheridan N., Wankah Nji P., Wodchis W.P.",17485908,"Implementation Science",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"An Exploratory Analysis on the Contextual Factors that Influence Disruptive Innovation: The Case of Uber","Urbinati A., Chiaroni D., Chiesa V., Franzo S., Frattini F.",02198770,"International Journal of Innovation and Technology Management",15, 3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Teachers’ agency, efficacy, engagement, and emotional resilience during policy innovation implementation","Wilcox K.C., Lawson H.A.",13892843,"Journal of Educational Change",19, 2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2018,"Managing social networks: Applying the percolation theory methodology to understand individuals' attitudes and moods","Zhukov D., Khvatova T., Lesko S., Zaltcman A.",00401625,"Technological Forecasting and Social Change",129, ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
2018,"Kaiser's School of Nursing: A 70-Year Legacy of Disruptive Innovation","D'Alfonso J., Jones D., Moss T.",03639568,"Nursing Administration Quarterly",42, 1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3
2017,"Response to Blood Meal in the Fat Body of Anopheles stephensi Using Quantitative Proteomics: Toward New Vector Control Strategies Against Malaria","Kumar M., Mohanty A.K., Sreenivasamurthy S.K., Dey G., Advani J., Pinto S.M., Kumar A., Prasad T.S.K.",15578100,"Omics : a journal of integrative biology",21, 9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
2017,"Disrupt or Die: Mobile Health and Disruptive Innovation as Body Politics","Levina M.",15274764,"Television and New Media",18, 6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2017,"Needs-Based Innovation in Interventional Radiology: The Biodesign Process","Steinberger J.D., Denend L., Azagury D.E., Brinton T.J., Makower J., Yock P.G.",10892516,"Techniques in Vascular and Interventional Radiology",20, 2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
2017,"The regulatory challenges of 'Uberization' in China: Classifying ride-hailing drivers","Zou M.",0952617X,"International Journal of Comparative Labour Law and Industrial Relations",33, 2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3
2017,"Disruptive change and the reconfiguration of innovation ecosystems","Dedehayir O., Ortt J.R., Seppanen M.",07182724,"Journal of Technology Management and Innovation",12, 3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2017,"Agent-based simulation for science, technology, and innovation policy","Ahrweiler P.",01389130,"Scientometrics",110, 1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2016,"Neoliberal Blues and Prec(ar)ious Knowledge","Fine M., Greene C., Sanchez S.",00420972,"Urban Review",48, 4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3
2016,"Home and away: the use of institutional and non-institutional technologies to support learning and teaching","Flavin M.",10494820,"Interactive Learning Environments",24, 7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2016,"Winning in oil and gas with big data analytics","Vennelakanti R., Sahu A., Dayal U.",0018277X,"Hitachi Review",65, 2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3
2015,"Disruptive innovation in hearing health care: Seismic shift or ripple effect?","Shaw G.",07457472,"Hearing Journal",69, 5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,3
2015,"Preparing for the future of higher education","Ahmad T.",10748121,"On the Horizon",23, 4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
2015,"Navigating Disruptive Innovation in Undergraduate Business Education","Behara R.S., Davis M.M.",15404595,"Decision Sciences Journal of Innovative Education",13, 3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,3
2015,"U.S. Renewable M&amp;A Revs Up Despite Headwinds","Motyka M., Boufarah B., Sanborn S., Stevens T.",10406190,"Electricity Journal",28, 5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,3
2014,"Thinking tomorrows' space - Research trends of the ESA advanced concepts team 2002-2012","Summerer L.",00945765,"Acta Astronautica",95, 1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,3
